                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   99521345 |  549050851 |          0 |          0 |          0 |          0 |          0 |          0 |  547569372 |   24954019 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000 |  417450000
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.24 |       1.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.31 |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500
  Idle time (ns)                     |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |   90823024 |   17285183 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |   17449658 |  101344717 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500 |  104362500
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      87.0% |      16.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      16.7% |      97.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    5473953 |   48421252 |          0 |          0 |          0 |          0 |          0 |          0 |   48179865 |    1569532 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     126149 |     890838 |          0 |          0 |          0 |          0 |          0 |          0 |     888035 |       7837 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.25% |      1.81% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.81% |      0.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
